#
#
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; z_m; theta_rad; phi_rad; vy_mps; vz_mps
0.103282;-3.247400;-3.757200;0.483348;-0.134843;0.000141;0.000000;30.110701;0.402619;0.681655;0.000000;0.000100
0.211189;-3.157800;-3.701800;0.621165;-4.432553;1.077900;0.438191;30.150299;0.430055;0.569966;0.065600;-0.081000
0.325116;-3.071900;-3.631600;0.606628;-0.302289;1.533000;5.050049;30.191200;0.445544;0.602783;0.175000;-0.322200
0.437479;-2.970600;-3.571900;0.550722;-0.009175;2.128300;9.877520;30.239700;0.444037;0.659101;-0.070000;-0.206000
0.548909;-2.880400;-3.514000;0.605800;0.264891;2.410800;5.692269;30.282301;0.440237;0.597219;0.077300;-0.281400
0.659333;-2.787400;-3.445000;0.609354;-0.157656;2.670100;5.142017;30.326000;0.458103;0.615057;0.060100;-0.334800
0.769014;-2.699300;-3.387600;0.570680;-0.160448;2.973900;7.603026;30.371599;0.454507;0.650621;0.212200;-0.311000
0.888702;-2.602800;-3.326500;0.574098;-0.064177;3.114000;3.514273;30.416201;0.414761;0.597708;0.123500;-0.313400
1.014778;-2.498300;-3.257600;0.556539;-0.230501;3.251300;3.438859;30.460100;0.373475;0.562093;0.189800;-0.383200
1.143304;-2.388700;-3.193300;0.515865;-0.208075;3.365800;2.894178;30.500099;0.338825;0.556044;0.124000;-0.407100
1.259010;-2.274700;-3.130800;0.500760;-0.096959;3.490900;3.127036;30.538900;0.330302;0.559657;0.160400;-0.376900
1.361023;-2.185700;-3.082200;0.494340;-0.051502;3.523300;1.026911;30.569700;0.319911;0.551134;0.119600;-0.364200
1.464279;-2.095100;-3.034000;0.491153;-0.007885;3.578200;1.901493;30.598400;0.313325;0.544637;0.073300;-0.356900
1.569150;-2.003600;-2.984800;0.492650;-0.000413;3.640900;2.097626;30.628700;0.324181;0.559320;0.146600;-0.365300
1.675806;-1.910300;-2.934800;0.491116;0.020235;3.651900;0.366008;30.660500;0.318875;0.553036;0.144000;-0.303300
